,ID,Country,Date Start,Date end intended,Description of measure implemented,Implementing State/Province,Keywords,Target region,education_closure,outdoor_gatherings_banned,sports cancellation,compulsory isolation,international travel ban,business suspension,blanket isolation,blanket curfew,social distancing
121,,Hong Kong,2020-03-21,2020-04-24,"- The exams for the Hong Kong Diploma of Secondary Education will be postponed and oral exams cancelled. The key tests, which are a reference for university enrollment, will be pushed back to April 24 and schools will remain closed until further notice.
- Only essential government services will be in operation as of Monday. Libraries, museums and leisure facilities will close, after they reopened at the start of March, as Lam urged private sector employers to roll out work-from-home arrangements.
- The government will give two face masks per day to seniors at elderly homes",,"general nonessential business suspension, public announcement, public mask and hygiene supply, remote work, school closure, social distancing, very large event cancellation or postponement, waste water treatment",,1.0,,,,,,,,
128,674,Hong Kong,2020-02-25,2020-04-20,"The Education Bureau announced today (February 25) that class suspension of all schools will be extended to the end of schools' Easter holidays, that is, schools would resume classes on April 20 the earliest. However, the exact date of class resumption is subject to further assessment.",,school closure,,1.0,,,,,,,,
163,27,China,2020-02-01,,"Hunan government required companies in the province not to resume business before 24:00 on 9 February; the new semester is not to start earlier than 17 February for primary and secondary schools and kindergartens, and 24 February for post-secondary institutions",Hunan,"general nonessential business suspension, school closure, university closure",,1.0,,,,,,,,
164,28,China,2020-02-01,,Tianjin government issued a notice to postpone business resumption and the start of the new semester,Tianjin,"general nonessential business suspension, school closure, university closure",,1.0,,,,,,,,
188,52,China,2020-02-06,,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",Chongqing,"school closure, university closure",,1.0,,,,,,,,
189,53,China,2020-02-06,,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",Zhejian,"school closure, university closure",,1.0,,,,,,,,
190,54,China,2020-02-06,,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",Shanghai,"school closure, university closure",,1.0,,,,,,,,
192,55,China,2020-02-06,,"The start of the new semester is postponed to at least the end of February in Zhejiang,[543] Jiangsu,[543] Chongqing,[544] and Shanghai.[",Jiangsu,"school closure, university closure",,1.0,,,,,,,,
213,72,China,2020-02-13,,Hubei postponed business resumption and start of new semester across the province; businesses were not to resume before 24:00 on 20 Feb,Hubei,"general nonessential business suspension, school closure",,1.0,,,,,,,,
214,73,China,2020-02-13,,Guangxi prohibited the start of new semester before 1 March.,Guangxi,school closure,,1.0,,,,,,,,
224,83,Italy,2020-03-08,2020-04-04,school facilities of all levels are closed.,,"school closure, university closure",,1.0,,,,,,,,
260,121,Czechia,2020-03-10,,"personal participation in teaching at primary, secondary, tertiary and tertiary professional schools was also prohibited",,"school closure, university closure",,1.0,,,,,,,,
276,144,United States,2020-02-06,,US Universities restrict study abroad program to and from China,,university closure,,1.0,,,,,,,,
284,154,Spain,2020-03-09,,temporarily closing all educational institutions in Madrid and other hard-hit regions.,Madrid,"school closure, university closure",,1.0,,,,,,,,
285,155,France,2020-03-16,,"French schools, universities and crèches will be shut from Monday due to the coronavirus outbreak",,"school closure, university closure",,1.0,,,,,,,,
286,156,Belgium,2020-03-14,2020-04-03,"Belgium will close schools,",,school closure,,1.0,,,,,,,,
290,160,Luxembourg,2020-03-16,2020-03-27,"Meanwhile, Luxembourg’s Health Minister Paulette Lenert announced that all schools in the country will be closed as of March 16 until March 27.",,school closure,,1.0,,,,,,,,
291,161,Portugal,2020-03-13,2020-04-09,Portugal’s Prime Minister Antonio Costa said in a press conference that all schools and universities will be closed until April 9.,,"school closure, university closure",,1.0,,,,,,,,
292,162,Albania,2020-03-16,2020-03-26,"Albania will close schools and ban public gatherings for two weeks after doctors confirmed the first two cases of the novel coronavirus on Monday, the prime minister said.",,"first case, school closure",,1.0,,,,,,,,
293,164,Andorra,2020-03-16,,The Government announced that it will close all schools from March 16.,,school closure,,1.0,,,,,,,,
299,171,Austria,2020-03-15,2020-04-04," All children older than 14 years old are ordered to stay at home, starting 15 March, with the younger children starting 17 March . This will apply until 4 April.",,school closure,,1.0,,,,,,,,
300,172,Austria,2020-03-17,2020-04-04,"All children older than 14 years old are ordered to stay at home, starting 15 March, with the younger children starting 17 March . This will apply until 4 April.",,school closure,,1.0,,,,,,,,
310,184,Azerbaijan,2020-03-02,,"On 2 March, educational processes and other related activities were suspended from 3–9 March in all educational institutions across the country to prevent the spread of COVID-19 infection,",,"school closure, university closure",,1.0,,,,,,,,
320,194,Spain,2020-03-10,,the Basque Government announced the same measure would be enforced in the municipality of Vitoria-Gasteiz,Basque Country,"school closure, university closure",,1.0,,,,,,,,
321,193,Spain,2020-03-11,2020-03-26,the Government of the Community of Madrid cancelled all in-person classes in the Autonomous community of Madrid at all educational levels for an initial period of 15 days,Madrid,"school closure, university closure",,1.0,,,,,,,,
337,216,Belgium,2020-03-12,,"Late in the evening on 12 March, after a meeting of the National Security Council, the Belgian government ordered the closure of schools, discos, cafes and restaurants, and the cancellation of all public gatherings for sporting, cultural or festive purposes from Friday March 14th at midnight onwards.[74]",,"cultural activity limitation, limited nonessential business suspension, school closure",,1.0,,,,,,,,
339,218,Bosnia and Herzegovina,2020-03-11,2020-03-30,Serb region shut all schools and universities and banned public events from March 11 to March 30 to help stem the spread of the infection.,Republika Srpska,"school closure, university closure",,1.0,,,,,,,,
347,229,Bulgaria,2020-03-13,,"At the time of the announcement, schools had already been closed until March 11 due to an influenza B epidemic.[26] A massive increase in influenza B cases prompted suspensions of routine medical examinations, and a recommendation by the government for suspension of lectures at universities.[27] According to the latest Ministry of Health data, there were 2063 intensive care and 740 infectious disease hospital beds in the country, with a total of 1605 ventilators across the health system.[28] However, Chief Health Inspector Angel Kunchev stated on 5 March that there is a shortage of medical personnel. Schools, shopping centres, cinemas, restaurants, and other places of business were closed.",,"general nonessential business suspension, school closure",,1.0,,,,,,,,
360,238,Denmark,2020-03-13,2020-03-27,"Starting 13 March, all secondary education (like gymnasiums), universities, libraries, indoor cultural institutions and similar places will be closed for two weeks.",,"cultural activity limitation, school closure, university closure",,1.0,,,,,,,,
361,239,Denmark,2020-03-16,2020-03-30,"Starting on 16 March, all primary schools, daycare and similar places will be closed for two weeks.",,school closure,,1.0,,,,,,,,
366,251,Finland,2020-03-16,2020-04-13,"All schools will be closed, not including early education.",,"school closure, university closure",,1.0,,,,,,,,
371,244,Estonia,2020-03-13,,"schools and universities were closed,",,"school closure, university closure",,1.0,,,,,,,,
401,279,Hungary,2020-03-16,,all of kindergartens and crécches will be closed from 16th March,,"nursery school closure, school closure",,1.0,,,,,,,,
411,286,Latvia,2020-03-13,2020-04-14,"All http://on.site-site learning terminated, replaced with remote education  pre-schools remain open ",,"remote schooling, school closure, university closure",,1.0,,,,,,,,
413,294,Luxembourg,2020-03-16,2020-03-27,"All schools closed, including pre-schools",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
416,290,Lithuania,2020-03-12,,"All educational institutions closed, including kindergardens",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
418,298,Moldova,2020-03-11,,"All schools closed, including pre-schools",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
419,296,Malta,2020-03-13,2020-03-20,"All educational institutions closed, including pre- schools",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
420,308,Monaco,2020-03-16,,"All educational institutions are closed, including pre-chools",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
425,305,Greece,2020-03-09,,"On March 9, all school trips were banned,",,school closure,,1.0,,,,,,,,
441,333,Iceland,2020-03-16,,"At 11:00 on 13 March, it was announced at a press conference that universities and secondary schools would be closing as of Monday 16 March, on which day a ban on public gatherings of over 100 would be put in place",,"school closure, university closure",,1.0,,,,,,,,
446,315,Greece,2020-03-10,2020-03-24,"Starting on March 10, the educational institutions of all levels were closed for 14 days",,"school closure, university closure",,1.0,,,,,,,,
447,314,Netherlands,2020-03-15,2020-04-06,"All schools are closed, including pre-schools",,"nursery school closure, school closure",,1.0,,,,,,,,
448,312,Netherlands,2020-03-12,2020-04-01,All universities cancel on-site teaching till 1. April,,university closure,,1.0,,,,,,,,
455,337,Iceland,2020-03-16,2020-04-10,universities and secondaries schools closed for four weeks. it was announced on 13 March that all schools in the Reykjavík area would be closed on 16 March in order to prepare,,"school closure, university closure",,1.0,,,,,,,,
458,344,Macedonia,2020-03-10,2020-03-24,temporary 2 week closure of all education institutes (from elementary schools to universities) that might be further extended,,"school closure, university closure",,1.0,,,,,,,,
472,360,Ireland,2020-03-12,2020-03-29,"On 12 March Taoiseach Leo Varadkar announced the closure of all schools, colleges and childcare facilities until at least 29 March",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
483,381,US: Florida,2020-03-10,,University of Florida: classes online for Spring semeter,,"remote schooling, university closure",,1.0,,,,,,,,
486,375,Turkey,2020-03-16,2020-03-23,"Primary schools, middle schools, and high schools closed.",,"nursery school closure, school closure",,1.0,,,,,,,,
487,376,Turkey,2020-03-16,2020-04-06,Universities closed.,,university closure,,1.0,,,,,,,,
490,384,Poland,2020-03-12,2020-03-25,"All schools are closed (kindergardens, primary schools, secondary schools, universities).",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
491,391,Ukraine,2020-03-12,2020-04-04,"All nurseries, schools and universities closed.",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
493,383,Portugal,2020-03-16,2020-04-09,Prime Minister António Costa decreed the closure of all public and private educational establishments from 16 March until 9 April at least.,,school closure,,1.0,,,,,,,,
520,394,Serbia,2020-03-16,,"All nurseries, schools and universities closed",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
521,393,Slovakia,2020-03-16,,"All nurseries, schools and universities closed",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
522,431,Switzerland,2020-03-13,2020-04-04,the Federal Council decided to cancel classes in all educational establishments ,,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
527,441,Norway,2020-03-12,2020-03-26,"All the country's kindergartens, schools, secondary schools, secondary schools, colleges and universities are closed,",,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
544,459,Germany,2020-03-13,2020-04-20,14 of the 16 German federal states decided to close their schools and nurseries for the next few weeks,,"nursery school closure, school closure",,1.0,,,,,,,,
555,468,Iran,2020-03-06,2020-03-20,Extension of school and universities closures,,"school closure, university closure",,1.0,,,,,,,,
586,30,US: Florida,2020-03-23,2020-04-06,Florida State University announced that classes will be moved online,,"remote schooling, university closure",,1.0,,,,,,,,
588,359,US: Florida,2020-03-11,,The Board of Governors of the State University System of Florida directed all state universities to make plans to transition into remote learning effective immediately.,,"remote schooling, university closure",,1.0,,,,,,,,
604,585,Russia,2020-03-23,2020-04-12,"Russian schools will go on a three-week vacation from March 23 to April 12 to prevent the spread of coronavirus, Education Minister Sergei Kravtsov.",,school closure,,1.0,,,,,,,,
605,589,Romania,2020-03-11,,"Interim Prime-minister Ludovic Orban announced the closure of all schools from 11 March. The measure targets all kindergartens, primary, secondary and high schools in Romania, both public and private.",,school closure,,1.0,,,,,,,,
612,596,Russia,2020-03-16,2020-03-20,Moscow and the Moscow region will make school attendance optional starting on Monday in a bid to curb the spread of the coronavirus.,Moscow Oblast,school closure,,1.0,,,,,,,,
625,,US:N Carolina,2020-03-14,2020-03-28,school closures,,"remote schooling, school closure",,1.0,,,,,,,,
629,611,US: Arizona,2020-03-15,2020-03-27,All schools closed,,"school closure, university closure",,1.0,,,,,,,,
630,610,US: Arizona,2020-03-13,,Other schools close,,school closure,,1.0,,,,,,,,
631,609,US: Arizona,2020-03-12,,Event closures and first school closed,,"activity cancellation - other, school closure",,1.0,,,,,,,,
635,616,US: Oregon,2020-03-18,2020-04-28,All schools closed (update),,"school closure, university closure",,1.0,,,,,,,,
636,615,US: Oregon,2020-03-11,2020-03-31,All schools closed,,"school closure, university closure",,1.0,,,,,,,,
647,638,US:Utah,2020-03-13,,all schools were ordered closed,,school closure,,1.0,,,,,,,,
648,635,US:California,2020-03-13,,all schools closed,,school closure,,1.0,,,,,,,,
657,653,US:Washington,2020-03-13,,all school closures,,school closure,,1.0,,,,,,,,
660,645,US: Nevada,2020-03-16,2020-04-06,all schools closure,,school closure,,1.0,,,,,,,,
666,690,Italy,2020-02-22,,"Schools were closed in ten municipalities in Lombardy, one in Veneto and one in Emilia Romagna.",,school closure,"Emilia-Romagna, Lombardy, Veneto",1.0,,,,,,,,
672,683,Iran,2020-02-23,2020-03-06,School and university closures,,"school closure, university closure",,1.0,,,,,,,,
677,695,Italy,2020-02-23,2020-03-01,"Educational trips to destinations in Italy and abroad were suspended. Universities in Lombardy, Veneto, Trentino Alto-Adige, Piedmont and Emilia-Romagna suspended all activities from 23 February until 1 March.",,university closure,,1.0,,,,,,,,
683,,US: S Carolina,2020-03-19,,university and colleges asked to finish semester online,,"mandated remote schooling, university closure",,1.0,,,,,,,,
716,716,Italy,2020-02-25,,"On 25 February, USAF Aviano Air Base closed all schools until 28 February",,school closure - limited,,1.0,,,,,,,,
717,713,Italy,2020-02-24,2020-03-02,"Multiple regions in Italy such as Liguria, Trentino Alto Adige, Friuli Venezia Giulia, Abruzzo and Marche decided to close all schools and universities for two days to a week.",,"school closure, university closure","Abruzzo, Friuli Venezia Giulia, Liguria, Marche, Trentino Alto Adige",1.0,,,,,,,,
723,,Austria,2020-03-10,2020-03-16,On 10 March 2020 government announced that all universities will close their classes at the latest by 16 March.,,university closure,,1.0,,,,,,,,
727,,US: S Carolina,2020-03-15,2020-03-31,Governor McMaster and other officials announce the closure of all public schools in the state,,school closure,,1.0,,,,,,,,
728,,US: S Carolina,2020-03-13,,school closure,"Kershan County, Lancaster County",school closure,,1.0,,,,,,,,
754,727,Italy,2020-02-26,2020-03-29,Palermo and Naples closed all schools until 29 February,,school closure,,1.0,,,,,,,,
760,733,Italy,2020-02-26,,Multiple schools were closed in Roseto degli Abruzzi,,school closure,Roseto degli Abruzzi,1.0,,,,,,,,
761,732,Italy,2020-02-26,,"On 27 February, Taranto, Apulia closed all schools until 29 February.",,school closure,,1.0,,,,,,,,
764,740,Italy,2020-02-22,2020-03-07,Universities in Lombardy extended their closure until 7 March.,,university closure,Lombardy,1.0,,,,,,,,
768,737,Italy,2020-02-29,2020-03-03,Messina closed all schools from 29 February to 3 March.,,school closure,,1.0,,,,,,,,
771,742,Italy,2020-03-04,,"On 4 March, the Italian government imposed the shutdown of all schools and universities nationwide for two weeks as the country reached 100 deaths from the outbreak.",,"school closure, university closure",,1.0,,,,,,,,
792,767,Albania,2020-03-08,2020-03-22,"halted all schools for two weeks,",,school closure,,1.0,,,,,,,,
831,802,Andorra,2020-03-16,,The Government announced that it would close all schools from 16 March.,,school closure,,1.0,,,,,,,,
845,,US: Florida,2020-03-12,2020-04-04,"Florida International University in Miami announced that it will transition to remote learning, The University of South Florida in Tampa announced that all classes will consist of remote instruction for two weeks following spring break",,"remote schooling, university closure",,1.0,,,,,,,,
849,815,Mexico,2020-03-20,2020-04-20,"School Easter break extended, i.e. efficiently closing schools",,school closure,,1.0,,,,,,,,
850,816,Mexico,2020-03-17,,Several universities suspended classes ,,"remote schooling, university closure",,1.0,,,,,,,,
862,837,Croatia,2020-03-16,,"On 13 March, Prime Minister Plenković announced that all kindergartens, schools and faculties in Croatia would be closed for a fortnight starting on 16 March.",,school closure,,1.0,,,,,,,,
877,843,US: Florida,2020-03-17,2020-04-15,school closure,,school closure,,1.0,,,,,,,,
885,854,Egypt,2020-03-15,2020-03-29,All schools and universities closed for two weeks,,school closure,,1.0,,,,,,,,
897,,US:Georgia,2020-03-18,2020-04-01,school closure,,school closure,,1.0,,,,,,,,
906,Copy of Untitled,US:N Carolina,2020-03-20,,"On March 11, the University of North Carolina system announced that it would suspend in-person classes, same for Duke University",,"remote schooling, university closure",,1.0,,,,,,,,
910,,US:Georgia,2020-03-16,2020-03-30,"Emory University, University of Georgia sytem shut down",,"remote schooling, university closure",,1.0,,,,,,,,
911,,US:Georgia,2020-03-16,2020-03-30,Many school districts in the state of Georgia made the decision to cancel classes for at least two weeks,,"remote schooling, school closure",,1.0,,,,,,,,
960,,US:Maryland,2020-03-16,,schools closure,,school closure,,1.0,,,,,,,,
964,,Singapore,2020-02-09,,Universities cancel classes and events with >50 people or move them online,,university closure,,1.0,,,,,,,,
975,,US:Maryland,2020-03-15,,"The University of Maryland, College Park; University of Maryland, Baltimore County; Towson University; University of Maryland Eastern Shore; and Salisbury University all closed campuses early and moved to online classes after Spring Break",,"remote schooling, university closure",,1.0,,,,,,,,
978,,US:Delaware,2020-03-13,2020-03-27,school closure,,school closure,,1.0,,,,,,,,
979,,US:Delaware,2020-03-13,,the University of Delaware announced that all classes after spring break would be moved to an all-online format for the remainder of the semester,,"remote schooling, university closure",,1.0,,,,,,,,
988,,US: Illinois,2020-03-13,,"On March 13, Governor Pritzker announced that all schools in Illinois would close for a period to begin the following Tuesday and last until the end of the month. The governor's announcement came after hundreds of public school districts and private schools had already announced closures",,"nursery school closure, school closure",,1.0,,,,,,,,
996,,US: Wisconsin,2020-03-13,,"On the 13th, the governor ordered the closure of all public and private K-12 schools in the state until at least April 5.[9] Most schools in the University of Wisconsin System, including Madison[10] and Stout,[11] have cancelled all in-person classes through early April",,school closure,,1.0,,,,,,,,
1001,https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Delaware#Government_response,US:Delaware,2020-03-12,2020-04-05,Delaware State University President Dr. Tony Allen advised all students to not return to campus until at least April 5. He also announced that all classes from March 18 until April 5 will take place online,,"remote schooling, university closure",,1.0,,,,,,,,
1007,,US: Virginia,2020-03-13,2020-03-28,all school closure,,school closure,,1.0,,,,,,,,
1013,,US: Illinois,2020-03-17,2020-03-30,Governor Pritzker announced statewide school closures beginning March 17 until March 30.[28],,school closure,,1.0,,,,,,,,
1018,875,US: Virginia,2020-03-12,,school closure,"Farifax county, Loudoun county, Prince William County, Stafford County",school closure,,1.0,,,,,,,,
1019,876,US: Virginia,2020-03-19,,"the University of Virginia in Charlottesville announced that classes will be moved online beginning on March 19 ""for the forseeable future, quite possibly through the end of the semester.""",,"remote schooling, university closure",,1.0,,,,,,,,
1032,,US: Indiana,2020-03-19,2020-05-01,"All K-12 schools (both public and private) were to remain closed until at least May 1, and all state-mandated standardized tests were cancelled",,"nursery school closure, school closure",,1.0,,,,,,,,
1033,,US:Maryland,2020-03-16,,Archbishop William E. Lori of the Roman Catholic Archdiocese of Baltimore announced that all Catholic schools in the archdiocese would close,,school closure,,1.0,,,,,,,,
1056,,Palestine,2020-03-05,2020-04-04,School and universities are closed.,,school closure,,1.0,,,,,,,,
1089,,Singapore,2020-03-26,,All tuition and enrichment classes suspended,,school closure,,1.0,,,,,,,,
1112,,Iraq,2020-02-27,,schools and universities closed.,,school closure,,1.0,,,,,,,,
1121,,US:Maryland,2020-03-17,,Morgan State University in Baltimore announced that it would be suspending face-to-face instruction for the remainder of the semester,,"remote schooling, university closure",,1.0,,,,,,,,
1136,,Hungary,2020-03-11,,Universities will be temporarily closed. Education may be continued via e-learning.,,university closure,,1.0,,,,,,,,
1137,,Hungary,2020-03-16,,9:30 pm - March 13: PM Orbán announces that schools will be closed from Monday,,school closure,,1.0,,,,,,,,
1138,,Hungary,2020-03-16,,Municipalities can decide whether to close or keep open kindergartens within their own local power structure.,,nursery school closure,,1.0,,,,,,,,
1166,,Spain,2020-03-11,2020-03-25,The regional government of La Rioja announced the suspension of classes for a period of two weeks,La Rioja,"school closure, university closure",,1.0,,,,,,,,
1167,,Spain,2020-03-12,,Nationwide closure of schools after all Autonomous Communities order it. More than 10 million students (1 million from university and 9 million from schools) ordered to stay at home for a period of two weeks,,"nursery school closure, school closure, university closure",,1.0,,,,,,,,
1274,,US:New Jersey,2020-03-18,,"Murphy also announced that all of the state's schools, colleges, and universities would close indefinitely on the 18th",,school closure,,1.0,,,,,,,,
1285,,US:New Jersey,2020-03-08,,Several schools and school districts announced closings or schedule modifications by the 8th due to the impact of the virus,,school closure,,1.0,,,,,,,,
1303,,Nepal,2020-03-18,2020-04-12,"The government declared suspension of all classes and postponement of all academic examinations including the Secondary Education Examination until 12 April, the end of the Month of Chaitra, the last month of Nepali calendar year when all schools hold the final examinations.",,"exam postpone, school closure",,1.0,,,,,,,,
1354,,Cyprus,2020-03-15,2020-04-10,C. The suspension of classes in public and private educational institutions of the country is extended until 10 April.,,school closure,,1.0,,,,,,,,
1364,,Namibia,2020-03-15,2020-04-14,The education ministry announced the immediate closure of private and government schools for all learners and teachers due to the coronavirus outbreak.,,school closure,,1.0,,,,,,,,
1374,,South Africa,2020-03-18,,School closure.,,school closure,,1.0,,,,,,,,
1389,,US:New York,2020-03-16,2020-04-20,Cuomo announced that New York City schools would close the following day through April 20,,school closure,,1.0,,,,,,,,
1392,,US:New York,2020-03-11,2020-03-18,City University of New York and State University of New York schools would be closed for the following week,,"remote schooling, university closure",,1.0,,,,,,,,
1419,,Morocco,2020-03-16,,All schools shut down until further notice,,"school closure, university closure",,1.0,,,,,,,,
1427,,Georgia,2020-02-29,2020-03-16,The government closes schools down until March 16.,,school closure,,1.0,,,,,,,,
1433,,Uganda,2020-03-20,2020-04-19,closure of all schools for 30 days,,"school closure, university closure",,1.0,,,,,,,,
1438,,US:New York,2020-03-13,,"all public schools in Herkimer County announced they, too, would close until April 14.",Herkimer County,school closure,,1.0,,,,,,,,
1441,,US:Alabama,2020-03-18,2020-06-05,Closure of all public schools,,school closure,,1.0,,,,,,,,
1448,,US:Alaska,2020-03-16,2020-05-01,public schools to close,,school closure,,1.0,,,,,,,,
1463,https://epidemicforecasting.slack.com/archives/C0100BY1EJZ/p1585559081013600?thread_ts=1585491859.010900&cid=C0100BY1EJZ,US:New York,2020-03-12,,"all public school districts in Dutchess, Orange, and Ulster counties in the Mid-Hudson Valley, which had reported their first cases earlier in the week, announced they would close for the next two weeks","Dutchess County, Orange County, Ulster County",school closure,,1.0,,,,,,,,
1529,,US: Pennsylvania,2020-03-13,,Governor Wolf announced that all Pennsylvania schools will be closed for at least two weeks,,school closure,,1.0,,,,,,,,
1533,,US: Pennsylvania,2020-03-21,,Governor Wolf announced that all Pennsylvania schools will be closed for at least two,,school closure,,1.0,,,,,,,,
1539,,US: Massachussets,2020-03-15,2020-04-07,"On March 15, Baker ordered all public and private schools in Massachusetts closed for three weeks from March 17",,school closure,,1.0,,,,,,,,
1542,,US: Massachussets,2020-03-10,,most schools and universities shut,,school closure,,1.0,,,,,,,,
1543,,US: Connecticut,2020-03-16,,governor Lamont ordered all schools to close after March 16,,school closure,,1.0,,,,,,,,
1550,,US:Arkansas,2020-03-17,2020-04-17,Public school closure; Schools would remain closed through spring break the following week; later prolonged to April 17,,school closure,,1.0,,,,,,,,
1564,,US:Colorado,2020-03-19,2020-04-17,Govenor Jared Polis closed schools until April 17,,school closure,,1.0,,,,,,,,
1579,,US: Massachussets,2020-03-24,2020-05-04,Governor Baker declared schools closed until May 4,,school closure,,1.0,,,,,,,,
1594,,Taiwan,2020-02-02,2020-02-25,"On 2 February 2020, Taiwan's Central Epidemic Command Center postponed the opening of primary and secondary schools until 25 February (originally 11 February).",,school closure,,1.0,,,,,,,,
1616,,Brazil,2020-03-21,,"The governor of São Paulo, João Doria (PSDB), recommended closing the shopping centers and gyms in the metropolitan region. In addition, classes in public and private schools are also being suspended.",São Paulo,school closure,,1.0,,,,,,,,
1630,,US:Hawaii,2020-03-17,2020-04-06,spring break for public schools in Hawaii would be extended for an additional week; later extended,,school closure,,1.0,,,,,,,,
1652,,US:Kansas,2020-03-17,,Governor orders all public schools to close for the rest of the school year,,school closure,,1.0,,,,,,,,
1672,,US: Rhode Island,2020-03-16,,Public schools are closed onward,,school closure,,1.0,,,,,,,,
1676,,US: Rhode Island,2020-03-11,,"The University of Rhode Island cancels all in-person classes through April 3, with classes resuming online on March 23",,university closure,,1.0,,,,,,,,
1693,,US: Rhode Island,2020-03-30,2020-04-30,"Raimondo announces Rhode Island school buildings will be closed through the end of April, with classes continuing through distance learning",,school closure,,1.0,,,,,,,,
1700,,US:Louisiana,2020-03-13,,closure of all K-12 public schools; all Catholic schools would close as well,,school closure,,1.0,,,,,,,,
67,418,Sweden,2020-03-11,,"The Swedish government passed a new law, temporarily banning all gatherings larger than 500 people, with threat of fine and prison.",,"compulsory isolation, outdoor gatherings banned",,,1.0,,,,,,,
77,422,Slovenia,2020-03-09,,government restricted public gatherings in open spaces to events of 500 people or more,,outdoor gatherings banned,,,1.0,,,,,,,
112,,Hong Kong,2020-03-27,2020-04-12,"The ban on more than four people getting together in public places will apply both indoors and outdoors for two weeks from Sunday, with offenders liable to a fine of up to HK$25,000 and six months in prison.
Restaurants are being ordered to slash the maximum number of customers they can host at any one time by 50 percent, with a cap of four people at each table, and with tables placed at least 1.5 metres apart from each other.
Cinemas, gyms, amusement game centres and other entertainment venues are being told to close from 6pm on Saturday.",,"indoor person density, limited nonessential business suspension, outdoor gatherings banned, restaurant limitations, social distancing advice",,,1.0,,,,,,,
237,97,China,2020-02-16,,All nonessential public spaces in Hubei are to be closed and all gatherings forbidden,,outdoor gatherings banned,,,1.0,,,,,,,
279,153,Czechia,2020-03-10,,All mass events with more than 100 people were banned at the same time,,outdoor gatherings banned,,,1.0,,,,,,,
303,174,Austria,2020-03-15,,"On 15 March, a ban was also announced for public gatherings of more than five people",,"outdoor gatherings banned, social distancing",,,1.0,,,,,,,
338,221,Bosnia and Herzegovina,2020-03-10,,Authorities in the capital Sarajevo also banned public gatherings with more than 300 people until further notice and ordered the closure of medical schools and faculty.,,outdoor gatherings banned,,,1.0,,,,,,,
372,243,Estonia,2020-03-13,,"All public gatherings were banned, including sports and culture events;",,"outdoor gatherings banned, sports cancellation",,,1.0,,,,,,,
378,254,Finland,2020-03-16,2020-04-13,"At most 10 people can participate in a public meeting, and people over the age of 70 should avoid human contact if possible",,"isolation advice to elderly, outdoor gatherings banned",,,1.0,,,,,,,
