Province_State,Country_Region,Date,ConfirmedCases,Fatalities
,Afghanistan,2020-03-13,7.0,0.0
,Afghanistan,2020-03-14,11.0,0.0
,Afghanistan,2020-03-15,16.0,0.0
,Afghanistan,2020-03-16,21.0,0.0
,Afghanistan,2020-03-17,22.0,0.0
,Afghanistan,2020-03-18,22.0,0.0
,Afghanistan,2020-03-19,22.0,0.0
,Afghanistan,2020-03-20,24.0,0.0
,Afghanistan,2020-03-21,24.0,0.0
,Afghanistan,2020-03-22,40.0,1.0
,Afghanistan,2020-03-23,40.0,1.0
,Afghanistan,2020-03-24,74.0,1.0
,Afghanistan,2020-03-25,84.0,2.0
,Afghanistan,2020-03-26,94.0,4.0
,Afghanistan,2020-03-27,110.0,4.0
,Afghanistan,2020-03-28,110.0,4.0
,Afghanistan,2020-03-29,120.0,4.0
,Afghanistan,2020-03-30,170.0,4.0
,Afghanistan,2020-03-31,174.0,4.0
,Afghanistan,2020-04-01,237.0,4.0
,Afghanistan,2020-04-02,273.0,6.0
,Afghanistan,2020-04-03,281.0,6.0
,Afghanistan,2020-04-04,299.0,7.0
,Afghanistan,2020-04-05,349.0,7.0
,Afghanistan,2020-04-06,367.0,11.0
,Afghanistan,2020-04-07,423.0,14.0
,Afghanistan,2020-04-08,444.0,14.0
,Afghanistan,2020-04-09,484.0,15.0
,Afghanistan,2020-04-10,521.0,15.0
,Afghanistan,2020-04-11,555.0,18.0
,Afghanistan,2020-04-12,607.0,18.0
,Afghanistan,2020-04-13,665.0,21.0
,Afghanistan,2020-04-14,714.0,23.0
,Afghanistan,2020-04-15,784.0,25.0
,Afghanistan,2020-04-16,840.0,30.0
,Afghanistan,2020-04-17,906.0,30.0
,Afghanistan,2020-04-18,933.0,30.0
,Afghanistan,2020-04-19,996.0,33.0
,Afghanistan,2020-04-20,1026.0,36.0
,Afghanistan,2020-04-21,1092.0,36.0
,Afghanistan,2020-04-22,1176.0,40.0
,Afghanistan,2020-04-23,1279.0,42.0
,Afghanistan,2020-04-24,1351.0,43.0
,Afghanistan,2020-04-25,1463.0,47.0
,Afghanistan,2020-04-26,1531.0,50.0
,Afghanistan,2020-04-27,1703.0,57.0
,Afghanistan,2020-04-28,1828.0,58.0
,Afghanistan,2020-04-29,1939.0,60.0
,Afghanistan,2020-04-30,2171.0,64.0
,Afghanistan,2020-05-01,2335.0,68.0
,Afghanistan,2020-05-02,2469.0,72.0
,Afghanistan,2020-05-03,2704.0,85.0
,Afghanistan,2020-05-04,2894.0,90.0
,Afghanistan,2020-05-05,3224.0,95.0
,Afghanistan,2020-05-06,3392.0,104.0
,Afghanistan,2020-05-07,3563.0,106.0
,Afghanistan,2020-05-08,3778.0,109.0
,Afghanistan,2020-05-09,4033.0,115.0
,Afghanistan,2020-05-10,4402.0,120.0
,Afghanistan,2020-05-11,4687.0,122.0
,Afghanistan,2020-05-12,4963.0,127.0
,Afghanistan,2020-05-13,5226.0,132.0
,Afghanistan,2020-05-14,5639.0,136.0
,Afghanistan,2020-05-15,6053.0,153.0
,Afghanistan,2020-05-16,6402.0,168.0
,Afghanistan,2020-05-17,6664.0,169.0
,Afghanistan,2020-05-18,7072.0,173.0
,Afghanistan,2020-05-19,7653.0,178.0
,Afghanistan,2020-05-20,8145.0,187.0
,Afghanistan,2020-05-21,8676.0,193.0
,Afghanistan,2020-05-22,9216.0,205.0
,Afghanistan,2020-05-23,9998.0,216.0
,Afghanistan,2020-05-24,10582.0,218.0
,Afghanistan,2020-05-25,11173.0,219.0
,Afghanistan,2020-05-26,11831.0,220.0
,Afghanistan,2020-05-27,12456.0,227.0
,Afghanistan,2020-05-28,13036.0,235.0
,Afghanistan,2020-05-29,13659.0,246.0
,Afghanistan,2020-05-30,14525.0,249.0
,Afghanistan,2020-05-31,15205.0,257.0
,Afghanistan,2020-06-01,15750.0,265.0
,Afghanistan,2020-06-02,16509.0,270.0
,Afghanistan,2020-06-03,17267.0,294.0
,Afghanistan,2020-06-04,18054.0,300.0
,Afghanistan,2020-06-05,18969.0,309.0
,Afghanistan,2020-06-06,19551.0,327.0
,Afghanistan,2020-06-07,20342.0,357.0
,Afghanistan,2020-06-08,20917.0,369.0
,Afghanistan,2020-06-09,21459.0,384.0
,Afghanistan,2020-06-10,22142.0,405.0
,Afghanistan,2020-06-11,22890.0,426.0
,Afghanistan,2020-06-12,23546.0,446.0
,Afghanistan,2020-06-13,24102.0,451.0
,Afghanistan,2020-06-14,24766.0,471.0
,Afghanistan,2020-06-15,25527.0,478.0
,Afghanistan,2020-06-16,26310.0,491.0
,Afghanistan,2020-06-17,26874.0,504.0
,Afghanistan,2020-06-18,27532.0,546.0
,Afghanistan,2020-06-19,27878.0,548.0
,Afghanistan,2020-06-20,28424.0,569.0
,Afghanistan,2020-06-21,28833.0,581.0
,Afghanistan,2020-06-22,29157.0,598.0
,Afghanistan,2020-06-23,29481.0,618.0
,Afghanistan,2020-06-24,29640.0,639.0
,Afghanistan,2020-06-25,30175.0,675.0
,Afghanistan,2020-06-26,30451.0,683.0
,Afghanistan,2020-06-27,30616.0,703.0
,Afghanistan,2020-06-28,30967.0,721.0
,Afghanistan,2020-06-29,31238.0,733.0
,Afghanistan,2020-06-30,31517.0,746.0
,Afghanistan,2020-07-01,31836.0,774.0
,Afghanistan,2020-07-02,32022.0,807.0
,Afghanistan,2020-07-03,32324.0,819.0
,Afghanistan,2020-07-04,32672.0,826.0
,Afghanistan,2020-07-05,32951.0,864.0
,Afghanistan,2020-07-06,33190.0,898.0
,Afghanistan,2020-07-07,33384.0,920.0
,Afghanistan,2020-07-08,33594.0,936.0
,Afghanistan,2020-07-09,33908.0,957.0
,Afghanistan,2020-07-10,34194.0,971.0
,Afghanistan,2020-07-11,34366.0,994.0
,Afghanistan,2020-07-12,34451.0,1010.0
,Afghanistan,2020-07-13,34455.0,1012.0
,Afghanistan,2020-07-14,34740.0,1048.0
,Afghanistan,2020-07-15,34994.0,1094.0
,Afghanistan,2020-07-16,35070.0,1113.0
,Afghanistan,2020-07-17,35229.0,1147.0
,Afghanistan,2020-07-18,35301.0,1164.0
,Afghanistan,2020-07-19,35475.0,1181.0
,Afghanistan,2020-07-20,35526.0,1185.0
,Afghanistan,2020-07-21,35615.0,1186.0
,Afghanistan,2020-07-22,35727.0,1190.0
,Afghanistan,2020-07-23,35928.0,1211.0
,Afghanistan,2020-07-24,35981.0,1225.0
,Afghanistan,2020-07-25,36036.0,1248.0
,Afghanistan,2020-07-26,36157.0,1259.0
,Afghanistan,2020-07-27,36263.0,1269.0
,Afghanistan,2020-07-28,36368.0,1270.0
,Afghanistan,2020-07-29,36471.0,1271.0
,Afghanistan,2020-07-30,36542.0,1271.0
,Afghanistan,2020-07-31,36675.0,1272.0
,Afghanistan,2020-08-01,36710.0,1283.0
,Afghanistan,2020-08-02,36710.0,1284.0
,Afghanistan,2020-08-03,36747.0,1288.0
,Afghanistan,2020-08-04,36782.0,1288.0
,Afghanistan,2020-08-05,36829.0,1294.0
,Afghanistan,2020-08-06,36896.0,1298.0
,Afghanistan,2020-08-07,37015.0,1307.0
,Afghanistan,2020-08-08,37054.0,1312.0
,Afghanistan,2020-08-09,37054.0,1312.0
,Afghanistan,2020-08-10,37162.0,1328.0
,Afghanistan,2020-08-11,37269.0,1344.0
,Afghanistan,2020-08-12,37345.0,1354.0
,Afghanistan,2020-08-13,37424.0,1363.0
,Afghanistan,2020-08-14,37431.0,1363.0
,Afghanistan,2020-08-15,37551.0,1370.0
,Afghanistan,2020-08-16,37596.0,1375.0
,Afghanistan,2020-08-17,37599.0,1375.0
,Afghanistan,2020-08-18,37599.0,1375.0
,Afghanistan,2020-08-19,37599.0,1375.0
,Afghanistan,2020-08-20,37856.0,1385.0
,Afghanistan,2020-08-21,37894.0,1385.0
,Afghanistan,2020-08-22,37953.0,1385.0
,Afghanistan,2020-08-23,37999.0,1387.0
,Afghanistan,2020-08-24,38054.0,1389.0
,Afghanistan,2020-08-25,38070.0,1397.0
,Afghanistan,2020-08-26,38113.0,1401.0
,Afghanistan,2020-08-27,38129.0,1401.0
,Afghanistan,2020-08-28,38140.0,1402.0
,Afghanistan,2020-08-29,38143.0,1402.0
,Afghanistan,2020-08-30,38162.0,1402.0
,Afghanistan,2020-08-31,38165.0,1402.0
,Afghanistan,2020-09-01,38196.0,1406.0
,Afghanistan,2020-09-02,38243.0,1409.0
,Afghanistan,2020-09-03,38288.0,1409.0
,Afghanistan,2020-09-04,38304.0,1409.0
,Afghanistan,2020-09-05,38324.0,1409.0
,Afghanistan,2020-09-06,38398.0,1412.0
,Afghanistan,2020-09-07,38494.0,1415.0
,Afghanistan,2020-09-08,38520.0,1418.0
,Afghanistan,2020-09-09,38544.0,1420.0
,Afghanistan,2020-09-10,38572.0,1420.0
,Afghanistan,2020-09-11,38606.0,1420.0
,Afghanistan,2020-09-12,38641.0,1420.0
,Afghanistan,2020-09-13,38716.0,1420.0
,Afghanistan,2020-09-14,38772.0,1425.0
,Afghanistan,2020-09-15,38815.0,1426.0
,Afghanistan,2020-09-16,38855.0,1436.0
,Afghanistan,2020-09-17,38872.0,1436.0
,Afghanistan,2020-09-18,38883.0,1437.0
,Afghanistan,2020-09-19,38919.0,1437.0
,Afghanistan,2020-09-20,39044.0,1441.0
,Afghanistan,2020-09-21,39074.0,1444.0
,Afghanistan,2020-09-22,39096.0,1445.0
,Afghanistan,2020-09-23,39145.0,1446.0
,Afghanistan,2020-09-24,39170.0,1451.0
,Afghanistan,2020-09-25,39186.0,1451.0
,Afghanistan,2020-09-26,39192.0,1453.0
,Afghanistan,2020-09-27,39227.0,1453.0
,Afghanistan,2020-09-28,39233.0,1455.0
,Afghanistan,2020-09-29,39254.0,1458.0
,Afghanistan,2020-09-30,39268.0,1458.0
,Afghanistan,2020-10-01,39285.0,1458.0
,Afghanistan,2020-10-02,39290.0,1458.0
,Afghanistan,2020-10-03,39297.0,1462.0
,Afghanistan,2020-10-04,39341.0,1462.0
,Afghanistan,2020-10-05,39422.0,1466.0
,Afghanistan,2020-10-06,39486.0,1467.0
,Afghanistan,2020-10-07,39548.0,1469.0
,Afghanistan,2020-10-08,39616.0,1470.0
,Afghanistan,2020-10-09,39693.0,1472.0
,Afghanistan,2020-10-10,39703.0,1473.0
,Afghanistan,2020-10-11,39799.0,1477.0
,Afghanistan,2020-10-12,39870.0,1479.0
,Afghanistan,2020-10-13,39928.0,1480.0
,Afghanistan,2020-10-14,39994.0,1481.0
,Albania,2020-01-22,0.0,0.0
,Albania,2020-01-23,0.0,0.0
,Albania,2020-01-24,0.0,0.0
,Albania,2020-01-25,0.0,0.0
,Albania,2020-01-26,0.0,0.0
,Albania,2020-01-27,0.0,0.0
,Albania,2020-01-28,0.0,0.0
,Albania,2020-01-29,0.0,0.0
,Albania,2020-01-30,0.0,0.0
,Albania,2020-01-31,0.0,0.0
,Albania,2020-02-01,0.0,0.0
,Albania,2020-02-02,0.0,0.0
,Albania,2020-02-03,0.0,0.0
,Albania,2020-02-04,0.0,0.0
,Albania,2020-02-05,0.0,0.0
,Albania,2020-02-06,0.0,0.0
,Albania,2020-02-07,0.0,0.0
,Albania,2020-02-08,0.0,0.0
,Albania,2020-02-09,0.0,0.0
,Albania,2020-02-10,0.0,0.0
,Albania,2020-02-11,0.0,0.0
,Albania,2020-02-12,0.0,0.0
,Albania,2020-02-13,0.0,0.0
,Albania,2020-02-14,0.0,0.0
,Albania,2020-02-15,0.0,0.0
,Albania,2020-02-16,0.0,0.0
,Albania,2020-02-17,0.0,0.0
,Albania,2020-02-18,0.0,0.0
,Albania,2020-02-19,0.0,0.0
,Albania,2020-02-20,0.0,0.0
,Albania,2020-02-21,0.0,0.0
,Albania,2020-02-22,0.0,0.0
,Albania,2020-02-23,0.0,0.0
,Albania,2020-02-24,0.0,0.0
,Albania,2020-02-25,0.0,0.0
,Albania,2020-02-26,0.0,0.0
,Albania,2020-02-27,0.0,0.0
,Albania,2020-02-28,0.0,0.0
,Albania,2020-02-29,0.0,0.0
,Albania,2020-03-01,0.0,0.0
,Albania,2020-03-02,0.0,0.0
,Albania,2020-03-03,0.0,0.0
,Albania,2020-03-04,0.0,0.0
,Albania,2020-03-05,0.0,0.0
,Albania,2020-03-06,0.0,0.0
,Albania,2020-03-07,0.0,0.0
,Albania,2020-03-08,0.0,0.0
,Albania,2020-03-09,2.0,0.0
,Albania,2020-03-10,10.0,0.0
,Albania,2020-03-11,12.0,1.0
,Albania,2020-03-12,23.0,1.0
,Albania,2020-03-13,33.0,1.0
,Albania,2020-03-14,38.0,1.0
,Albania,2020-03-15,42.0,1.0
,Albania,2020-03-16,51.0,1.0
,Albania,2020-03-17,55.0,1.0
,Albania,2020-03-18,59.0,2.0
,Albania,2020-03-19,64.0,2.0
,Albania,2020-03-20,70.0,2.0
,Albania,2020-03-21,76.0,2.0
,Albania,2020-03-22,89.0,2.0
,Albania,2020-03-23,104.0,4.0
,Albania,2020-03-24,123.0,5.0
,Albania,2020-03-25,146.0,5.0
,Albania,2020-03-26,174.0,6.0
,Albania,2020-03-27,186.0,8.0
,Albania,2020-03-28,197.0,10.0
,Albania,2020-03-29,212.0,10.0
,Albania,2020-03-30,223.0,11.0
,Albania,2020-03-31,243.0,15.0
,Albania,2020-04-01,259.0,15.0
,Albania,2020-04-02,277.0,16.0
,Albania,2020-04-03,304.0,17.0
,Albania,2020-04-04,333.0,20.0
,Albania,2020-04-05,361.0,20.0
,Albania,2020-04-06,377.0,21.0
,Albania,2020-04-07,383.0,22.0
,Albania,2020-04-08,400.0,22.0
,Albania,2020-04-09,409.0,23.0
,Albania,2020-04-10,416.0,23.0
,Albania,2020-04-11,433.0,23.0
,Albania,2020-04-12,446.0,23.0
,Albania,2020-04-13,467.0,23.0
,Albania,2020-04-14,475.0,24.0
,Albania,2020-04-15,494.0,25.0
,Albania,2020-04-16,518.0,26.0
,Albania,2020-04-17,539.0,26.0
,Albania,2020-04-18,548.0,26.0
,Albania,2020-04-19,562.0,26.0
,Albania,2020-04-20,584.0,26.0
,Albania,2020-04-21,609.0,26.0
,Albania,2020-04-22,634.0,27.0
,Albania,2020-04-23,663.0,27.0
,Albania,2020-04-24,678.0,27.0
,Albania,2020-04-25,712.0,27.0
,Albania,2020-04-26,726.0,28.0
,Albania,2020-04-27,736.0,28.0
,Albania,2020-04-28,750.0,30.0
,Albania,2020-04-29,766.0,30.0
,Albania,2020-04-30,773.0,31.0
,Albania,2020-05-01,782.0,31.0
,Albania,2020-05-02,789.0,31.0
,Albania,2020-05-03,795.0,31.0
,Albania,2020-05-04,803.0,31.0
,Albania,2020-05-05,820.0,31.0
,Albania,2020-05-06,832.0,31.0
,Albania,2020-05-07,842.0,31.0
,Albania,2020-05-08,850.0,31.0
,Albania,2020-05-09,856.0,31.0
,Albania,2020-05-10,868.0,31.0
,Albania,2020-05-11,872.0,31.0
,Albania,2020-05-12,876.0,31.0
,Albania,2020-05-13,880.0,31.0
,Albania,2020-05-14,898.0,31.0
,Albania,2020-05-15,916.0,31.0
,Albania,2020-05-16,933.0,31.0
,Albania,2020-05-17,946.0,31.0
,Albania,2020-05-18,948.0,31.0
,Albania,2020-05-19,949.0,31.0
,Albania,2020-05-20,964.0,31.0
,Albania,2020-05-21,969.0,31.0
,Albania,2020-05-22,981.0,31.0
,Albania,2020-05-23,989.0,31.0
,Albania,2020-05-24,998.0,32.0
,Albania,2020-05-25,1004.0,32.0
,Albania,2020-05-26,1029.0,33.0
,Albania,2020-05-27,1050.0,33.0
,Albania,2020-05-28,1076.0,33.0
,Albania,2020-05-29,1099.0,33.0
,Albania,2020-05-30,1122.0,33.0
,Albania,2020-05-31,1137.0,33.0
,Albania,2020-06-01,1143.0,33.0
,Albania,2020-06-02,1164.0,33.0
,Albania,2020-06-03,1184.0,33.0
,Albania,2020-06-04,1197.0,33.0
,Albania,2020-06-05,1212.0,33.0
,Albania,2020-06-06,1232.0,34.0
,Albania,2020-06-07,1246.0,34.0
,Albania,2020-06-08,1263.0,34.0
,Albania,2020-06-09,1299.0,34.0
,Albania,2020-06-10,1341.0,34.0
,Albania,2020-06-11,1385.0,35.0
,Albania,2020-06-12,1416.0,36.0
,Albania,2020-06-13,1464.0,36.0
,Albania,2020-06-14,1521.0,36.0
,Albania,2020-06-15,1590.0,36.0
,Albania,2020-06-16,1672.0,37.0
,Albania,2020-06-17,1722.0,38.0
,Albania,2020-06-18,1788.0,39.0
,Albania,2020-06-19,1838.0,42.0
,Albania,2020-06-20,1891.0,43.0
,Albania,2020-06-21,1962.0,44.0
,Albania,2020-06-22,1995.0,44.0
,Albania,2020-06-23,2047.0,45.0
,Albania,2020-06-24,2114.0,47.0
,Albania,2020-06-25,2192.0,49.0
,Albania,2020-06-26,2269.0,51.0
,Albania,2020-06-27,2330.0,53.0
,Albania,2020-06-28,2402.0,55.0
,Albania,2020-06-29,2466.0,58.0
,Albania,2020-06-30,2535.0,62.0
,Albania,2020-07-01,2580.0,65.0
,Albania,2020-07-02,2662.0,69.0
,Albania,2020-07-03,2752.0,72.0
,Albania,2020-07-04,2819.0,74.0
,Albania,2020-07-05,2893.0,76.0
,Albania,2020-07-06,2964.0,79.0
,Albania,2020-07-07,3038.0,81.0
,Albania,2020-07-08,3106.0,83.0
,Albania,2020-07-09,3188.0,83.0
,Albania,2020-07-10,3278.0,85.0
,Albania,2020-07-11,3371.0,89.0
,Albania,2020-07-12,3454.0,93.0
,Albania,2020-07-13,3571.0,95.0
,Albania,2020-07-14,3667.0,97.0
,Albania,2020-07-15,3752.0,101.0
,Albania,2020-07-16,3851.0,104.0
,Albania,2020-07-17,3906.0,107.0
,Albania,2020-07-18,4008.0,111.0
,Albania,2020-07-19,4090.0,112.0
,Albania,2020-07-20,4171.0,113.0
,Albania,2020-07-21,4290.0,117.0
,Albania,2020-07-22,4358.0,120.0
,Albania,2020-07-23,4466.0,123.0
,Albania,2020-07-24,4570.0,128.0
,Albania,2020-07-25,4637.0,134.0
,Albania,2020-07-26,4763.0,138.0
,Albania,2020-07-27,4880.0,144.0
,Albania,2020-07-28,4997.0,148.0
,Albania,2020-07-29,5105.0,150.0
,Albania,2020-07-30,5197.0,154.0
,Albania,2020-07-31,5276.0,157.0
,Albania,2020-08-01,5396.0,161.0
,Albania,2020-08-02,5519.0,166.0
,Albania,2020-08-03,5620.0,172.0
,Albania,2020-08-04,5750.0,176.0
,Albania,2020-08-05,5889.0,182.0
,Albania,2020-08-06,6016.0,188.0
,Albania,2020-08-07,6151.0,189.0
,Albania,2020-08-08,6275.0,193.0
,Albania,2020-08-09,6411.0,199.0
,Albania,2020-08-10,6536.0,200.0
,Albania,2020-08-11,6676.0,205.0
,Albania,2020-08-12,6817.0,208.0
,Albania,2020-08-13,6971.0,213.0
,Albania,2020-08-14,7117.0,219.0
,Albania,2020-08-15,7260.0,225.0
,Albania,2020-08-16,7380.0,228.0
,Albania,2020-08-17,7499.0,230.0
,Albania,2020-08-18,7654.0,232.0
,Albania,2020-08-19,7812.0,234.0
,Albania,2020-08-20,7967.0,238.0
,Albania,2020-08-21,8119.0,240.0
,Albania,2020-08-22,8275.0,245.0
,Albania,2020-08-23,8427.0,250.0
,Albania,2020-08-24,8605.0,254.0
,Albania,2020-08-25,8759.0,259.0
,Albania,2020-08-26,8927.0,263.0
,Albania,2020-08-27,9083.0,266.0
,Albania,2020-08-28,9195.0,271.0
,Albania,2020-08-29,9279.0,275.0
,Albania,2020-08-30,9380.0,280.0
,Albania,2020-08-31,9513.0,284.0
,Albania,2020-09-01,9606.0,290.0
,Albania,2020-09-02,9728.0,296.0
,Albania,2020-09-03,9844.0,301.0
,Albania,2020-09-04,9967.0,306.0
,Albania,2020-09-05,10102.0,312.0
,Albania,2020-09-06,10255.0,316.0
,Albania,2020-09-07,10406.0,319.0
,Albania,2020-09-08,10553.0,321.0
,Albania,2020-09-09,10704.0,322.0
,Albania,2020-09-10,10860.0,324.0
,Albania,2020-09-11,11021.0,327.0
,Albania,2020-09-12,11185.0,330.0
,Albania,2020-09-13,11353.0,334.0
,Albania,2020-09-14,11520.0,338.0
,Albania,2020-09-15,11672.0,340.0
,Albania,2020-09-16,11816.0,343.0
,Albania,2020-09-17,11948.0,347.0
,Albania,2020-09-18,12073.0,353.0
,Albania,2020-09-19,12226.0,358.0
,Albania,2020-09-20,12385.0,362.0
,Albania,2020-09-21,12535.0,364.0
,Albania,2020-09-22,12666.0,367.0
,Albania,2020-09-23,12787.0,370.0
,Albania,2020-09-24,12921.0,370.0
,Albania,2020-09-25,13045.0,373.0
,Albania,2020-09-26,13153.0,375.0
,Albania,2020-09-27,13259.0,377.0
,Albania,2020-09-28,13391.0,380.0
,Albania,2020-09-29,13518.0,384.0
,Albania,2020-09-30,13649.0,387.0
,Albania,2020-10-01,13806.0,388.0
,Albania,2020-10-02,13965.0,389.0
,Albania,2020-10-03,14117.0,392.0
,Albania,2020-10-04,14266.0,396.0
,Albania,2020-10-05,14410.0,400.0
,Albania,2020-10-06,14568.0,403.0
,Albania,2020-10-07,14730.0,407.0
,Albania,2020-10-08,14899.0,411.0
,Albania,2020-10-09,15066.0,413.0
,Albania,2020-10-10,15231.0,416.0
,Albania,2020-10-11,15399.0,420.0
,Albania,2020-10-12,15570.0,424.0
,Albania,2020-10-13,15752.0,429.0
,Albania,2020-10-14,15955.0,434.0
,Algeria,2020-01-22,0.0,0.0
,Algeria,2020-01-23,0.0,0.0
,Algeria,2020-01-24,0.0,0.0
,Algeria,2020-01-25,0.0,0.0
,Algeria,2020-01-26,0.0,0.0
,Algeria,2020-01-27,0.0,0.0
,Algeria,2020-01-28,0.0,0.0
,Algeria,2020-01-29,0.0,0.0
,Algeria,2020-01-30,0.0,0.0
,Algeria,2020-01-31,0.0,0.0
,Algeria,2020-02-01,0.0,0.0
,Algeria,2020-02-02,0.0,0.0
,Algeria,2020-02-03,0.0,0.0
,Algeria,2020-02-04,0.0,0.0
,Algeria,2020-02-05,0.0,0.0
,Algeria,2020-02-06,0.0,0.0
,Algeria,2020-02-07,0.0,0.0
,Algeria,2020-02-08,0.0,0.0
,Algeria,2020-02-09,0.0,0.0
,Algeria,2020-02-10,0.0,0.0
,Algeria,2020-02-11,0.0,0.0
,Algeria,2020-02-12,0.0,0.0
,Algeria,2020-02-13,0.0,0.0
,Algeria,2020-02-14,0.0,0.0
,Algeria,2020-02-15,0.0,0.0
,Algeria,2020-02-16,0.0,0.0
,Algeria,2020-02-17,0.0,0.0
,Algeria,2020-02-18,0.0,0.0
,Algeria,2020-02-19,0.0,0.0
,Algeria,2020-02-20,0.0,0.0
,Algeria,2020-02-21,0.0,0.0
,Algeria,2020-02-22,0.0,0.0
,Algeria,2020-02-23,0.0,0.0
,Algeria,2020-02-24,0.0,0.0
,Algeria,2020-02-25,1.0,0.0
,Algeria,2020-02-26,1.0,0.0
,Algeria,2020-02-27,1.0,0.0
,Algeria,2020-02-28,1.0,0.0
,Algeria,2020-02-29,1.0,0.0
,Algeria,2020-03-01,1.0,0.0
,Algeria,2020-03-02,3.0,0.0
,Algeria,2020-03-03,5.0,0.0
,Algeria,2020-03-04,12.0,0.0
,Algeria,2020-03-05,12.0,0.0
,Algeria,2020-03-06,17.0,0.0
,Algeria,2020-03-07,17.0,0.0
,Algeria,2020-03-08,19.0,0.0
,Algeria,2020-03-09,20.0,0.0
,Algeria,2020-03-10,20.0,0.0
,Algeria,2020-03-11,20.0,0.0
,Algeria,2020-03-12,24.0,1.0
,Algeria,2020-03-13,26.0,2.0
,Algeria,2020-03-14,37.0,3.0
,Algeria,2020-03-15,48.0,4.0
,Algeria,2020-03-16,54.0,4.0
,Algeria,2020-03-17,60.0,4.0
,Algeria,2020-03-18,74.0,7.0
,Algeria,2020-03-19,87.0,9.0
,Algeria,2020-03-20,90.0,11.0
,Algeria,2020-03-21,139.0,15.0
,Algeria,2020-03-22,201.0,17.0
,Algeria,2020-03-23,230.0,17.0
,Algeria,2020-03-24,264.0,19.0
,Algeria,2020-03-25,302.0,21.0
,Algeria,2020-03-26,367.0,25.0
,Algeria,2020-03-27,409.0,26.0
,Algeria,2020-03-28,454.0,29.0
,Algeria,2020-03-29,511.0,31.0
,Algeria,2020-03-30,584.0,35.0
,Algeria,2020-03-31,716.0,44.0
,Algeria,2020-04-01,847.0,58.0
,Algeria,2020-04-02,986.0,86.0
,Algeria,2020-04-03,1171.0,105.0
,Algeria,2020-04-04,1251.0,130.0
,Algeria,2020-04-05,1320.0,152.0
,Algeria,2020-04-06,1423.0,173.0
,Algeria,2020-04-07,1468.0,193.0
,Algeria,2020-04-08,1572.0,205.0
,Algeria,2020-04-09,1666.0,235.0
,Algeria,2020-04-10,1761.0,256.0
,Algeria,2020-04-11,1825.0,275.0
,Algeria,2020-04-12,1914.0,293.0
,Algeria,2020-04-13,1983.0,313.0
,Algeria,2020-04-14,2070.0,326.0
,Algeria,2020-04-15,2160.0,336.0
,Algeria,2020-04-16,2268.0,348.0
,Algeria,2020-04-17,2418.0,364.0
,Algeria,2020-04-18,2534.0,367.0
,Algeria,2020-04-19,2629.0,375.0
,Algeria,2020-04-20,2718.0,384.0
,Algeria,2020-04-21,2811.0,392.0
,Algeria,2020-04-22,2910.0,402.0
,Algeria,2020-04-23,3007.0,407.0
,Algeria,2020-04-24,3127.0,415.0
,Algeria,2020-04-25,3256.0,419.0
,Algeria,2020-04-26,3382.0,425.0
